SubjectID,SubjectName,TrainCount,DevCount,TestCount,TotalCount,PresentInSplits
gnd:4044302-4,Pädagogik,232,49,81,362,3
gnd:4027089-0,Innovation,253,74,29,356,3
gnd:4802620-7,Big Data,241,78,36,355,3
gnd:4116522-6,Softwareentwicklung,250,69,36,355,3
gnd:4055916-6,Sozialwissenschaften,239,40,76,355,3
gnd:4066528-8,Wirtschaftswissenschaften,240,46,69,355,3
gnd:4070102-5,Controlling,216,49,87,352,3
gnd:4017894-8,Forschung,215,50,87,352,3
gnd:4010074-1,Christentum,229,32,90,351,3
gnd:4037877-9,Massenmedien,238,39,74,351,3
gnd:4115712-6,Rechtsvergleich,213,39,98,350,3
gnd:4028808-0,Juden,213,39,90,342,3
gnd:4592128-3,Electronic Commerce,232,44,53,329,3
gnd:4000626-8,Ästhetik,198,49,82,329,3
gnd:4076308-0,Prävention,245,57,24,326,3
gnd:4079351-5,Wirtschaftstheorie,213,36,77,326,3
gnd:4072885-7,Internationale Politik,215,32,77,324,3
gnd:4056795-3,Städtebau,237,60,25,322,3
gnd:4113450-3,Entwicklung,232,58,28,318,3
gnd:4068598-6,Erneuerbare Energien,227,66,22,315,3
gnd:4022349-8,Grundschule,206,36,73,315,3
gnd:4074725-6,Menschenrecht,197,32,86,315,3
gnd:4045269-4,Personalpolitik,195,28,92,315,3
gnd:4071497-4,Führungskraft,191,34,88,313,3
gnd:4125909-9,Mensch-Maschine-Kommunikation,217,53,42,312,3
gnd:4076370-5,Programmierung,227,62,20,309,3
gnd:4078523-3,Umweltpolitik,206,45,58,309,3
gnd:4071776-8,Geschlechterrolle,199,28,79,306,3
gnd:4121590-4,Risikomanagement,188,53,63,304,3
gnd:4011134-9,Datenschutz,200,50,53,303,3
gnd:4020775-4,Gesundheitswesen,186,50,65,301,3
gnd:4026894-9,Informatik,215,59,26,300,3
gnd:4037949-8,Mathematikunterricht,200,40,60,300,3
gnd:4062644-1,Verbraucherverhalten,208,32,59,299,3
gnd:4056618-3,Staat,209,22,66,297,3
gnd:4013021-6,Drittes Reich,182,28,86,296,3
gnd:4144679-3,Markenpolitik,197,26,69,292,3
gnd:4002733-8,Arbeitsmarkt,187,20,82,289,3
gnd:4029577-1,Kapitalismus,163,53,73,289,3
gnd:4639271-3,Social Media,212,51,26,289,3
gnd:4434275-5,Python (Programmiersprache),218,39,28,285,3
gnd:4071013-0,Europäische Integration,181,34,69,284,3
gnd:4011510-0,Design,190,43,49,282,3
gnd:7713781-4,Internet der Dinge,187,55,38,280,3
gnd:4016397-0,Familie,176,30,73,279,3
gnd:4066562-8,Wissenschaft,176,38,65,279,3
gnd:4006684-8,Bildverarbeitung,192,55,29,276,3
gnd:4128130-5,Numerisches Verfahren,205,47,24,276,3
gnd:4053369-4,Schüler,189,38,48,275,3
gnd:4039827-4,Moderne,162,40,72,274,3
gnd:4043664-0,Optimierung,208,47,18,273,3
gnd:4048829-9,Rechtsradikalismus,163,31,78,272,3
gnd:4006650-2,Bildung,165,39,66,270,3
gnd:4170297-9,Modellierung,200,52,17,269,3
gnd:4169187-8,Medien,176,27,64,267,3
gnd:4047689-3,Psychoanalyse,167,32,67,266,3
gnd:4001183-5,Algorithmus,191,53,21,265,3
gnd:4035088-5,Lehrer,169,37,59,265,3
gnd:7623494-0,Cloud Computing,188,49,27,264,3
gnd:4020832-1,Gewalt,170,31,62,263,3
gnd:4201190-5,Regulierung,169,31,63,263,3
gnd:4561842-2,Wissensmanagement,168,38,56,262,3
gnd:4684051-5,Supply Chain Management,156,36,69,261,3
gnd:4114011-4,Informationsgesellschaft,195,46,19,260,3
gnd:4047989-4,Quantenmechanik,183,55,22,260,3
gnd:4033329-2,Kryptologie,184,57,18,259,3
gnd:4219057-5,Qualitätsmanagement,165,38,56,259,3
gnd:4002963-3,Armut,163,35,59,257,3
gnd:4073624-6,Kolonialismus,157,35,65,257,3
gnd:4077570-7,Soziale Integration,171,21,65,257,3
gnd:4055879-4,Sozialpolitik,159,22,76,257,3
gnd:4059758-1,Theologie,180,15,62,257,3
gnd:4041421-8,Naturwissenschaften,178,49,29,256,3
gnd:4017233-8,Finite-Elemente-Methode,180,53,21,254,3
gnd:4046584-6,Politisches System,149,32,73,254,3
gnd:4043774-7,Organisation,161,34,57,252,3
gnd:4061644-7,Umweltschutz,172,58,19,249,3
gnd:4011144-1,Datensicherung,173,50,24,247,3
gnd:4353072-2,Prozessmanagement,173,30,44,247,3
gnd:4019702-5,Gefühl,160,33,53,246,3
gnd:4342626-8,Nanostrukturiertes Material,180,47,19,246,3
gnd:4121465-1,Personalentwicklung,137,30,79,246,3
gnd:4017182-6,Finanzierung,144,34,66,244,3
gnd:4705956-4,R (Programm),179,39,26,244,3
gnd:4013396-5,Dynamisches System,160,54,29,243,3
gnd:4222126-2,Feminismus,159,24,60,243,3
gnd:4077970-1,Strömungsmechanik,185,42,15,242,3
gnd:4073091-8,Judenvernichtung,158,31,52,241,3
gnd:4139716-2,Methodologie,176,29,36,241,3
gnd:4066527-6,Wirtschaftswachstum,147,29,65,241,3
gnd:4056449-6,Sprache,158,25,57,240,3
gnd:4001865-9,Analysis,177,40,22,239,3
gnd:4034402-2,Landwirtschaft,156,23,60,239,3
gnd:4050479-7,Roman,154,26,59,239,3
gnd:4035093-9,Lehrerbildung,137,24,77,238,3
gnd:4033229-9,Kritik,138,39,60,237,3
gnd:4482930-9,Geschlechterforschung,150,22,63,235,3
gnd:4036210-3,Logistik,145,36,53,234,3
gnd:4014606-6,Empirische Sozialforschung,141,33,59,233,3
gnd:4114087-4,Judentum,155,25,53,233,3
gnd:4059827-5,Thermodynamik,175,41,17,233,3
gnd:4062005-0,Unterricht,148,33,52,233,3
gnd:4066571-9,Wissenschaftliches Arbeiten,129,26,76,231,3
gnd:4005248-5,Begriff,144,31,55,230,3
gnd:4044779-0,Partielle Differentialgleichung,167,43,20,230,3
gnd:4057795-8,Strafrecht,132,31,66,229,3
gnd:4123623-3,Lehrbuch,156,38,33,227,3
gnd:4006292-2,Bevölkerungsentwicklung,131,32,61,224,3
gnd:4076527-1,Rassismus,128,32,64,224,3
gnd:4049422-6,Religionsunterricht,150,18,56,224,3
gnd:4076226-9,Politische Philosophie,133,26,63,222,3
gnd:4027266-7,Interaktion,150,28,43,221,3
gnd:4063317-2,Verwaltung,133,22,66,221,3
gnd:4170174-4,Mitgliedsstaaten,141,20,59,220,3
gnd:4077575-6,Soziale Situation,120,29,71,220,3
gnd:4065468-0,Weltwirtschaft,140,31,48,219,3
gnd:4115716-3,Reform,157,41,20,218,3
gnd:4020531-9,Geschichtsschreibung,142,23,52,217,3
gnd:4116614-0,Steuerrecht,133,18,66,217,3
gnd:4061638-1,Umweltökonomie,134,33,50,217,3
gnd:4011975-0,Deutschunterricht,133,14,67,214,3
gnd:4078599-3,Unternehmensgründung,132,21,59,212,3
gnd:4188417-6,Visualisierung,145,36,31,212,3
gnd:4035811-2,Lineare Algebra,150,37,23,210,3
gnd:4036774-5,Lyrik,118,25,66,209,3
gnd:4055072-2,Simulation,151,41,17,209,3
gnd:7635855-0,Finanzkrise,114,28,66,208,3
gnd:4075092-9,Multinationales Unternehmen,130,27,51,208,3
gnd:4056243-8,Spieltheorie,132,25,51,208,3
gnd:4006667-8,Bildungspolitik,124,23,60,207,3
gnd:4015428-2,Erwachsenenbildung,129,32,46,207,3
gnd:4058812-9,Systemtheorie,149,38,20,207,3
gnd:4015999-1,Experiment,152,35,19,206,3
gnd:4061672-1,Vergangenheitsbewältigung,134,14,58,206,3
gnd:4026482-8,Identität,140,29,36,205,3
gnd:4035408-8,Lernen,117,35,52,204,3
gnd:4329066-8,MATLAB,147,38,19,204,3
gnd:4047746-0,Psychotherapie,135,18,51,204,3
gnd:4033203-2,Krise,139,40,24,203,3
gnd:4727098-6,E-Learning,136,29,37,202,3
gnd:4002805-7,Arbeitswelt,131,29,40,200,3
gnd:7697760-2,Corporate Social Responsibility,121,25,54,200,3
gnd:4059252-2,Technischer Fortschritt,127,39,34,200,3
gnd:4055762-5,Soziales Netzwerk,144,29,26,199,3
gnd:4073788-3,Kreditmarkt,142,32,24,198,3
gnd:4112587-3,Architekturtheorie,152,27,18,197,3
gnd:7588126-3,Entrepreneurship,123,25,49,197,3
gnd:7547705-1,Klimaschutz,131,48,18,197,3
gnd:4132280-0,Ökonometrie,136,22,37,195,3
gnd:4197034-2,Erfolgsfaktor,126,20,48,194,3
gnd:4017604-6,Flüchtling,130,21,42,193,3
gnd:4157237-3,Gewalttätigkeit,121,26,46,193,3
gnd:4112736-5,Wirtschaftsinformatik,126,32,35,193,3
gnd:4696474-5,Inklusion (Soziologie),124,17,51,192,3
gnd:4079167-1,Zweiter Weltkrieg,114,23,55,192,3
gnd:4010457-6,Computerspiel,126,29,36,191,3
gnd:4014957-2,Entwicklungspolitik,114,24,53,191,3
gnd:4226127-2,Neuronales Netz,141,34,16,191,3
gnd:4511937-5,Online-Ressource,136,42,13,191,3
gnd:4116521-4,Software Engineering,135,42,14,191,3
gnd:4072819-5,Innenarchitektur,139,33,18,190,3
gnd:4070085-9,Rechnernetz,133,39,18,190,3
gnd:4071034-8,Evaluation,107,36,46,189,3
gnd:4001446-0,Alter,121,24,43,188,3
gnd:4419850-4,Corporate Governance,109,21,58,188,3
gnd:4071781-1,Geschlechtsunterschied,112,19,57,188,3
gnd:4058216-4,Studium,120,22,46,188,3
gnd:4112646-4,Auswirkung,134,40,13,187,3
gnd:4069402-1,Betriebswirtschaftslehre,100,23,63,186,3
gnd:4139402-1,Produktentwicklung,127,29,30,186,3
gnd:4059534-1,Terrorismus,119,27,40,186,3
gnd:4077628-1,Soziologische Theorie,116,24,45,185,3
gnd:4002333-3,Antisemitismus,114,24,46,184,3
gnd:7693876-1,Inklusive Pädagogik,109,23,52,184,3
gnd:4042805-9,Numerische Mathematik,129,31,24,184,3
gnd:4063693-8,Völkerrecht,110,19,55,184,3
gnd:4112701-8,Bekämpfung,129,36,18,183,3
gnd:4012475-7,Diskurs,109,32,42,183,3
gnd:7737985-8,Geschäftsmodell,128,27,28,183,3
gnd:4126887-8,Organisationsentwicklung,95,19,69,183,3
gnd:4116433-7,Schwarze,112,22,49,183,3
gnd:4236865-0,Kundenmanagement,111,22,49,182,3
gnd:4059205-4,Technik,128,35,19,182,3
gnd:4069491-4,Biotechnologie,137,35,9,181,3
gnd:4012494-0,Dissertation,115,18,48,181,3
gnd:4032690-1,Kraftfahrzeugindustrie,125,21,35,181,3
gnd:4114012-6,Informationsmanagement,116,33,31,180,3
gnd:4327470-5,Nanotechnologie,141,28,10,179,3
gnd:4006439-6,Bibliothek,123,18,37,178,3
gnd:4137178-1,Fundamentalismus,110,28,39,177,3
gnd:4033542-2,Kulturelle Identität,115,18,44,177,3
gnd:4014715-0,Energiepolitik,121,33,22,176,3
gnd:4113937-9,Hochschulschrift,113,16,47,176,3
gnd:4214151-5,Multikulturelle Gesellschaft,107,25,44,176,3
gnd:4519498-1,Interkulturalität,110,14,51,175,3
gnd:4032386-9,Kooperation,125,21,29,175,3
gnd:4033569-0,Kulturkontakt,108,19,48,175,3
gnd:4062801-2,Verfassungsrecht,106,23,46,175,3
gnd:4019902-2,Geldpolitik,118,13,43,174,3
gnd:4046526-3,Politische Bildung,103,22,49,174,3
gnd:4116489-1,Sicherheitspolitik,110,19,45,174,3
gnd:4143413-4,Aufsatzsammlung,130,26,17,173,3
gnd:4030638-0,Kindertagesstätte,112,23,38,173,3
gnd:4074250-7,Linguistik,116,21,36,173,3
gnd:4037174-8,Makroökonomie,103,21,49,173,3
gnd:4333369-2,Nanopartikel,129,32,12,173,3
gnd:4175047-0,Politischer Wandel,116,18,39,173,3
gnd:4009816-3,Chemie,139,25,8,172,3
gnd:4401313-9,Java (Programmiersprache),127,32,13,172,3
gnd:4033114-3,Krieg,103,20,49,172,3
gnd:4066596-3,Wissenschaftliches Manuskript,87,30,55,172,3
gnd:4068754-5,Antike,103,23,44,170,3
gnd:1135597375,Deep learning,122,30,18,170,3
gnd:4194747-2,Diskursanalyse,106,24,40,170,3
gnd:4011152-0,Datenverarbeitung,117,34,18,169,3
gnd:4012178-1,Dienstleistung,112,27,30,169,3
gnd:4151434-8,Einwanderer,111,20,38,169,3
gnd:4034870-2,Lebensmittel,123,37,9,169,3
gnd:4204530-7,Nanostruktur,125,28,16,169,3
gnd:4046699-1,Polymere,114,40,15,169,3
gnd:4058136-6,Strukturwandel,105,25,39,169,3
gnd:4066472-7,Wirtschaftsmathematik,107,20,42,169,3
gnd:4072803-1,Information Retrieval,116,29,23,168,3
gnd:4079163-4,Erster Weltkrieg,106,20,41,167,3
gnd:4020548-4,Geschlechterverhältnis,102,20,45,167,3
gnd:1072179776,Industrie 4.0,112,30,25,167,3
gnd:4054365-1,Sekundarstufe 1,110,16,41,167,3
gnd:4122926-5,Bildungsforschung,105,21,40,166,3
gnd:7606306-9,Change Management,99,15,52,166,3
gnd:4045895-7,Fotografie,105,22,37,164,3
gnd:4032786-3,Krankenhaus,101,31,32,164,3
gnd:4074659-8,Medienpädagogik,120,15,29,164,3
gnd:4038403-2,Mehrsprachigkeit,96,22,46,164,3
gnd:4046540-8,Politische Kultur,106,16,42,164,3
gnd:4172385-5,Öffentlicher Raum,121,33,10,164,3
gnd:4113446-1,Entscheidungsfindung,111,28,24,163,3
gnd:4067488-5,Zeitschrift,119,22,22,163,3
gnd:4006617-4,Bildgebendes Verfahren,120,15,27,162,3
gnd:4036824-5,Macht,94,13,55,162,3
gnd:4041300-7,Nationalismus,87,24,50,161,3
gnd:4053309-8,Schriftsteller,108,8,45,161,3
gnd:4318539-3,Sozioökonomischer Wandel,107,18,36,161,3
gnd:4238872-7,Verteiltes System,112,32,17,161,3
gnd:4015482-8,Erziehung,95,25,40,160,3
gnd:4038243-6,Medizin,104,19,37,160,3
gnd:4017195-4,Finanzmathematik,109,16,34,159,3
gnd:4639012-1,Governance,104,22,33,159,3
gnd:4046563-9,Politische Theorie,108,16,35,159,3
gnd:4363898-3,World Wide Web,115,34,10,159,3
gnd:4043188-5,Öffentlichkeitsarbeit,90,25,44,159,3
gnd:4008767-0,Bürgerbeteiligung,104,23,31,158,3
gnd:4040936-3,Mustererkennung,121,21,16,158,3
gnd:7854804-4,Digitale Revolution,105,28,24,157,3
gnd:4294611-6,Gesundheitsförderung,100,21,36,157,3
gnd:4033422-3,Künste,95,19,43,157,3
gnd:4006681-2,Bildungswesen,87,20,49,156,3
gnd:4014516-5,Eltern,96,25,35,156,3
gnd:4120503-0,Internationale Kooperation,98,16,42,156,3
gnd:7706419-7,Online-Marketing,106,16,34,156,3
gnd:4126892-1,Schulentwicklung,87,25,44,156,3
gnd:4028779-8,Journalismus,97,26,32,155,3
gnd:4064317-7,Wahrnehmung,100,18,37,155,3
gnd:4148114-8,Coaching,78,22,53,153,3
gnd:4032903-3,Kreativität,105,20,28,153,3
gnd:4037952-8,Mathematische Physik,109,32,12,153,3
gnd:4055783-2,Sozialisation,98,9,45,152,3
gnd:4057630-9,Stochastischer Prozess,119,23,10,152,3
gnd:4060749-5,Psychisches Trauma,94,17,40,151,3
gnd:4013960-8,Einwanderung,90,19,41,150,3
gnd:4079262-6,Widerstand,100,15,35,150,3
gnd:4155046-8,Forschungsmethode,91,15,43,149,3
gnd:4129594-8,Maschinelles Sehen,109,28,12,149,3
gnd:4048590-0,Raumordnung,108,28,13,149,3
gnd:4076605-6,Regionalentwicklung,107,32,10,149,3
gnd:4054947-1,Signalverarbeitung,106,29,14,149,3
gnd:4002769-7,Arbeitsrecht,91,16,41,148,3
gnd:4004955-3,Bautechnik,114,25,9,148,3
gnd:4192358-3,Multimedia,90,35,23,148,3
gnd:4047376-4,Professionalisierung,80,21,47,148,3
gnd:4077347-4,Sekundarstufe,87,17,44,148,3
gnd:4000771-6,Agrarpolitik,95,17,35,147,3
gnd:4002641-3,Arbeitsbedingungen,94,15,38,147,3
gnd:4396978-1,Eingebettetes System,105,26,16,147,3
gnd:4079184-1,Werkstoffkunde,109,26,12,147,3
gnd:4113782-6,Graphentheorie,111,23,12,146,3
gnd:7544915-8,Migrationshintergrund,91,17,38,146,3
gnd:4076229-4,Politische Wissenschaft,96,15,35,146,3
gnd:4395695-6,Qualitative Sozialforschung,95,15,36,146,3
gnd:4077513-6,Sonderpädagogik,91,12,43,146,3
gnd:4066439-9,Wirtschaftsethik,96,19,31,146,3
gnd:4123176-4,Fachdidaktik,92,11,42,145,3
gnd:4038639-9,Mensch,101,28,16,145,3
gnd:4120744-0,Mitarbeiter,94,15,36,145,3
gnd:4261462-4,Robotik,97,31,17,145,3
gnd:4055864-2,Sozialpädagogik,84,12,49,145,3
gnd:4061778-6,Universität,81,17,47,145,3
gnd:4004436-1,Bank,83,17,44,144,3
gnd:4012472-1,Diskriminierung,83,17,44,144,3
gnd:4014414-8,Elementarteilchenphysik,111,20,13,144,3
gnd:4005227-8,Umfrage,89,22,33,144,3
gnd:4611085-9,Bioinformatik,110,23,10,143,3
gnd:4076215-4,Politische Beteiligung,97,23,23,143,3
gnd:4055260-3,Sklaverei,85,22,36,143,3
gnd:4431027-4,Technische Innovation,94,38,11,143,3
gnd:4043183-6,Öffentlichkeit,82,21,40,143,3
gnd:4064324-4,Wahrscheinlichkeitsrechnung,98,29,15,142,3
gnd:4112628-2,Ausbildung,90,8,43,141,3
gnd:4020754-7,Gesundheit,79,28,34,141,3
gnd:4036034-9,Literaturwissenschaft,86,17,38,141,3
gnd:4389058-1,Mehragentensystem,105,25,11,141,3
gnd:4064811-4,Wasserversorgung,93,35,13,141,3
gnd:4164958-8,Konfliktregelung,85,11,44,140,3
gnd:4056366-2,Sport,81,12,47,140,3
gnd:4009736-5,Chancengleichheit,86,14,39,139,3
gnd:4070463-4,Didaktik,81,25,33,139,3
gnd:4075693-2,Organisationswandel,90,18,31,139,3
gnd:4059702-7,Theater,91,19,29,139,3
gnd:4006340-9,Bewertung,94,18,26,138,3
gnd:4073972-7,Landeskunde,102,25,11,138,3
gnd:4040802-4,Musik,89,26,23,138,3
gnd:4737034-8,Pandemie,96,16,26,138,3
gnd:4566658-1,Postkolonialismus,80,24,34,138,3
gnd:4115645-6,Projekt,93,29,16,138,3
gnd:4399931-1,Virtuelle Realität,103,28,7,138,3
gnd:1206347392,COVID-19,97,16,24,137,3
gnd:4171529-9,Netzwerk,103,21,13,137,3
gnd:4134262-8,Politische Kommunikation,93,12,32,137,3
gnd:4236433-4,Soziale Gerechtigkeit,82,17,38,137,3
gnd:4012899-4,Drama,82,18,36,136,3
gnd:4114294-9,Kosmologie,91,30,14,135,3
gnd:4076573-8,Recycling,100,27,8,135,3
gnd:4055707-8,Soziale Bewegung,86,15,34,135,3
gnd:4079013-7,Wahrscheinlichkeitstheorie,98,24,13,135,3
gnd:7548364-6,World Wide Web 2.0,97,24,14,135,3
gnd:4124941-0,Demokratisierung,84,20,30,134,3
gnd:4020236-7,Geometrie,99,19,16,134,3
gnd:4034026-0,Ländlicher Raum,97,20,17,134,3
gnd:4061619-8,Umweltbelastung,94,28,12,134,3
gnd:4131484-0,Unternehmenskultur,89,17,28,134,3
gnd:4043207-5,Ökologie,101,24,9,134,3
gnd:4171438-6,Neoliberalismus,74,20,39,133,3
gnd:4047390-9,Prognose,93,19,21,133,3
gnd:4048561-4,Raum,100,20,13,133,3
gnd:4018406-7,Tourismus,95,24,14,133,3
gnd:4065365-1,Welthandel,88,20,25,133,3
gnd:1124028595,Blockchain,86,22,24,132,3
gnd:4072806-7,Informationssystem,91,29,12,132,3
gnd:4033676-1,Kunststoff,95,31,6,132,3
gnd:4130642-9,Lebensbedingungen,84,10,38,132,3
gnd:7705206-7,App (Programm),90,26,15,131,3
gnd:4070914-0,Erkenntnistheorie,82,19,30,131,3
gnd:4121333-6,Geldtheorie,82,13,36,131,3
gnd:4420180-1,JavaScript,101,20,10,131,3
gnd:4070334-4,Deutsche,87,14,29,130,3
gnd:4032592-1,Kostenrechnung,88,16,26,130,3
gnd:4129521-3,Populismus,79,10,40,129,3
gnd:4062127-3,Urheberrecht,87,11,31,129,3
gnd:4196864-5,Anwendung,95,22,11,128,3
gnd:4601495-0,Biodiversität,98,20,10,128,3
gnd:4014390-9,Elektrotechnik,82,30,16,128,3
gnd:4020533-2,Geschichtsunterricht,78,15,35,128,3
gnd:4041282-9,Nationalbewusstsein,84,18,26,128,3
gnd:4049040-3,Regionalplanung,87,33,8,128,3
gnd:4015833-0,Evangelische Kirche,70,10,47,127,3
gnd:4162106-2,Internationalisierung,81,14,31,126,3
gnd:4001156-2,Algebra,87,22,16,125,3
gnd:4040364-6,Motivation,76,15,34,125,3
gnd:4115590-7,Politisches Denken,75,18,32,125,3
gnd:4049428-7,Religiosität,74,13,38,125,3
gnd:4078943-3,Volkswirtschaftslehre,79,9,37,125,3
gnd:4006851-1,Biologie,86,27,11,124,3
gnd:4019311-1,Gartengestaltung,94,21,9,124,3
gnd:4020227-6,Geologie,93,24,7,124,3
gnd:4020310-4,Gerechtigkeit,62,23,39,124,3
gnd:4027238-2,Integration,100,14,10,124,3
gnd:4045539-7,Pflanzen,75,25,24,124,3
gnd:4047686-8,Psychische Störung,77,10,37,124,3
gnd:4059231-5,Technische Mechanik,95,18,11,124,3
gnd:4061655-1,Umweltverträglichkeit,83,29,12,124,3
gnd:4038852-9,Messung,87,24,11,122,3
gnd:4062670-2,Verbundwerkstoff,92,19,11,122,3
gnd:4011455-7,Denkmalpflege,94,22,5,121,3
gnd:4015332-0,Ernährung,75,16,30,121,3
gnd:4316837-1,Kundenorientierung,82,13,26,121,3
gnd:4039785-3,Mobilität,75,25,21,121,3
gnd:4817917-6,Resilienz,71,21,29,121,3
gnd:7550143-0,Soziale Software,87,21,13,121,3
gnd:4077640-2,Spanisch,84,13,24,121,3
gnd:4066466-1,Wirtschaftskrise,62,24,35,121,3
gnd:4002737-5,Arbeitsmarktpolitik,73,11,36,120,3
gnd:4130935-2,Gesundheitsökonomie,79,11,30,120,3
gnd:4038168-7,Mechanik,77,28,15,120,3
gnd:4312811-7,Vielfalt,92,20,8,120,3
gnd:4195461-0,Bewältigung,77,13,29,119,3
gnd:4016796-3,Fernerkundung,80,28,11,119,3
gnd:4073648-9,Kommunalpolitik,73,20,26,119,3
gnd:4061418-9,Übersetzung,71,19,29,119,3
gnd:4002623-1,Arbeitnehmer,73,16,29,118,3
gnd:4030702-5,Kirche,68,13,37,118,3
gnd:4266670-3,Quantenphysik,87,22,9,118,3
gnd:4134373-6,Lebenslanges Lernen,82,12,23,117,3
gnd:4038261-8,Medizinische Informatik,73,20,24,117,3
gnd:4126457-5,Qualitätssicherung,75,22,20,117,3
gnd:1061057097,Smart City,85,22,10,117,3
gnd:4056458-7,Spracherwerb,65,15,37,117,3
gnd:4121924-7,Wettbewerbsrecht,71,14,32,117,3
gnd:4132300-2,Biografieforschung,69,14,33,116,3
gnd:4014743-5,Energiewirtschaft,75,18,23,116,3
gnd:4072788-9,Industriedesign,77,18,21,116,3
gnd:4044789-3,Partizipation,83,8,25,116,3
gnd:4078637-7,Unterrichtsmethode,67,15,34,116,3
gnd:4063234-9,Verstädterung,85,22,9,116,3
gnd:4234987-4,Wandel,78,23,15,116,3
gnd:4000313-9,Abwasserreinigung,78,25,12,115,3
gnd:4078931-7,Ethnologie,76,9,30,115,3
gnd:4071461-5,Fremdsprachenlernen,70,10,35,115,3
gnd:4020535-6,Geschichtswissenschaft,79,11,25,115,3
gnd:4028892-4,Jugendhilfe,70,10,35,115,3
gnd:4032524-6,Korruption,78,19,18,115,3
gnd:4115586-5,Politische Ökonomie,60,18,37,115,3
gnd:4132695-7,Wertorientierung,69,11,35,115,3
gnd:4193909-8,C++,86,19,9,114,3
gnd:4014963-8,Entwicklungspsychologie,69,8,37,114,3
gnd:4022344-9,Grundrecht,75,10,29,114,3
gnd:4031575-7,Körper,67,21,26,114,3
gnd:4037363-0,Mann,73,14,27,114,3
gnd:4077811-3,Stadtsoziologie,73,20,21,114,3
