LabelNorm,RawLabelExample,NumDistinctIDs,TotalCount,Entropy_bits,NormalizedEntropy,HHI,DominantID,DominantCount,DominantShare
innovationsmanagement,Innovationsmanagement,1,419,-0.0,0.0,1.0,gnd:4161817-8,419,1.0
psychologie,Psychologie,1,419,-0.0,0.0,1.0,gnd:4047704-6,419,1.0
data mining,Data Mining,1,404,-0.0,0.0,1.0,gnd:4428654-5,404,1.0
projektmanagement,Projektmanagement,1,395,-0.0,0.0,1.0,gnd:4047441-0,395,1.0
mathematisches modell,Mathematisches Modell,1,393,-0.0,0.0,1.0,gnd:4114528-8,393,1.0
geschichte,Geschichte,1,392,-0.0,0.0,1.0,gnd:4020517-4,392,1.0
alltag,Alltag,1,388,-0.0,0.0,1.0,gnd:4001307-8,388,1.0
außenpolitik,Außenpolitik,1,387,-0.0,0.0,1.0,gnd:4003846-4,387,1.0
methode,Methode,1,381,-0.0,0.0,1.0,gnd:4038971-6,381,1.0
kollektives gedächtnis,Kollektives Gedächtnis,1,375,-0.0,0.0,1.0,gnd:4200793-8,375,1.0
computersimulation,Computersimulation,1,372,-0.0,0.0,1.0,gnd:4148259-1,372,1.0
klein- und mittelbetrieb,Klein- und Mittelbetrieb,1,371,-0.0,0.0,1.0,gnd:4031031-0,371,1.0
soziale ungleichheit,Soziale Ungleichheit,1,370,-0.0,0.0,1.0,gnd:4055736-4,370,1.0
pädagogik,Pädagogik,1,362,-0.0,0.0,1.0,gnd:4044302-4,362,1.0
innovation,Innovation,1,356,-0.0,0.0,1.0,gnd:4027089-0,356,1.0
big data,Big Data,1,355,-0.0,0.0,1.0,gnd:4802620-7,355,1.0
softwareentwicklung,Softwareentwicklung,1,355,-0.0,0.0,1.0,gnd:4116522-6,355,1.0
sozialwissenschaften,Sozialwissenschaften,1,355,-0.0,0.0,1.0,gnd:4055916-6,355,1.0
wirtschaftswissenschaften,Wirtschaftswissenschaften,1,355,-0.0,0.0,1.0,gnd:4066528-8,355,1.0
controlling,Controlling,1,352,-0.0,0.0,1.0,gnd:4070102-5,352,1.0
forschung,Forschung,1,352,-0.0,0.0,1.0,gnd:4017894-8,352,1.0
christentum,Christentum,1,351,-0.0,0.0,1.0,gnd:4010074-1,351,1.0
massenmedien,Massenmedien,1,351,-0.0,0.0,1.0,gnd:4037877-9,351,1.0
rechtsvergleich,Rechtsvergleich,1,350,-0.0,0.0,1.0,gnd:4115712-6,350,1.0
juden,Juden,1,342,-0.0,0.0,1.0,gnd:4028808-0,342,1.0
electronic commerce,Electronic Commerce,1,329,-0.0,0.0,1.0,gnd:4592128-3,329,1.0
ästhetik,Ästhetik,1,329,-0.0,0.0,1.0,gnd:4000626-8,329,1.0
prävention,Prävention,1,326,-0.0,0.0,1.0,gnd:4076308-0,326,1.0
wirtschaftstheorie,Wirtschaftstheorie,1,326,-0.0,0.0,1.0,gnd:4079351-5,326,1.0
internationale politik,Internationale Politik,1,324,-0.0,0.0,1.0,gnd:4072885-7,324,1.0
städtebau,Städtebau,1,322,-0.0,0.0,1.0,gnd:4056795-3,322,1.0
entwicklung,Entwicklung,1,318,-0.0,0.0,1.0,gnd:4113450-3,318,1.0
erneuerbare energien,Erneuerbare Energien,1,315,-0.0,0.0,1.0,gnd:4068598-6,315,1.0
grundschule,Grundschule,1,315,-0.0,0.0,1.0,gnd:4022349-8,315,1.0
menschenrecht,Menschenrecht,1,315,-0.0,0.0,1.0,gnd:4074725-6,315,1.0
personalpolitik,Personalpolitik,1,315,-0.0,0.0,1.0,gnd:4045269-4,315,1.0
führungskraft,Führungskraft,1,313,-0.0,0.0,1.0,gnd:4071497-4,313,1.0
mensch-maschine-kommunikation,Mensch-Maschine-Kommunikation,1,312,-0.0,0.0,1.0,gnd:4125909-9,312,1.0
programmierung,Programmierung,1,309,-0.0,0.0,1.0,gnd:4076370-5,309,1.0
umweltpolitik,Umweltpolitik,1,309,-0.0,0.0,1.0,gnd:4078523-3,309,1.0
geschlechterrolle,Geschlechterrolle,1,306,-0.0,0.0,1.0,gnd:4071776-8,306,1.0
risikomanagement,Risikomanagement,1,304,-0.0,0.0,1.0,gnd:4121590-4,304,1.0
datenschutz,Datenschutz,1,303,-0.0,0.0,1.0,gnd:4011134-9,303,1.0
gesundheitswesen,Gesundheitswesen,1,301,-0.0,0.0,1.0,gnd:4020775-4,301,1.0
informatik,Informatik,1,300,-0.0,0.0,1.0,gnd:4026894-9,300,1.0
mathematikunterricht,Mathematikunterricht,1,300,-0.0,0.0,1.0,gnd:4037949-8,300,1.0
verbraucherverhalten,Verbraucherverhalten,1,299,-0.0,0.0,1.0,gnd:4062644-1,299,1.0
staat,Staat,1,297,-0.0,0.0,1.0,gnd:4056618-3,297,1.0
drittes reich,Drittes Reich,1,296,-0.0,0.0,1.0,gnd:4013021-6,296,1.0
markenpolitik,Markenpolitik,1,292,-0.0,0.0,1.0,gnd:4144679-3,292,1.0
arbeitsmarkt,Arbeitsmarkt,1,289,-0.0,0.0,1.0,gnd:4002733-8,289,1.0
kapitalismus,Kapitalismus,1,289,-0.0,0.0,1.0,gnd:4029577-1,289,1.0
social media,Social Media,1,289,-0.0,0.0,1.0,gnd:4639271-3,289,1.0
python (programmiersprache),Python (Programmiersprache),1,285,-0.0,0.0,1.0,gnd:4434275-5,285,1.0
europäische integration,Europäische Integration,1,284,-0.0,0.0,1.0,gnd:4071013-0,284,1.0
design,Design,1,282,-0.0,0.0,1.0,gnd:4011510-0,282,1.0
internet der dinge,Internet der Dinge,1,280,-0.0,0.0,1.0,gnd:7713781-4,280,1.0
familie,Familie,1,279,-0.0,0.0,1.0,gnd:4016397-0,279,1.0
wissenschaft,Wissenschaft,1,279,-0.0,0.0,1.0,gnd:4066562-8,279,1.0
bildverarbeitung,Bildverarbeitung,1,276,-0.0,0.0,1.0,gnd:4006684-8,276,1.0
numerisches verfahren,Numerisches Verfahren,1,276,-0.0,0.0,1.0,gnd:4128130-5,276,1.0
schüler,Schüler,1,275,-0.0,0.0,1.0,gnd:4053369-4,275,1.0
moderne,Moderne,1,274,-0.0,0.0,1.0,gnd:4039827-4,274,1.0
optimierung,Optimierung,1,273,-0.0,0.0,1.0,gnd:4043664-0,273,1.0
rechtsradikalismus,Rechtsradikalismus,1,272,-0.0,0.0,1.0,gnd:4048829-9,272,1.0
bildung,Bildung,1,270,-0.0,0.0,1.0,gnd:4006650-2,270,1.0
modellierung,Modellierung,1,269,-0.0,0.0,1.0,gnd:4170297-9,269,1.0
medien,Medien,1,267,-0.0,0.0,1.0,gnd:4169187-8,267,1.0
psychoanalyse,Psychoanalyse,1,266,-0.0,0.0,1.0,gnd:4047689-3,266,1.0
algorithmus,Algorithmus,1,265,-0.0,0.0,1.0,gnd:4001183-5,265,1.0
lehrer,Lehrer,1,265,-0.0,0.0,1.0,gnd:4035088-5,265,1.0
cloud computing,Cloud Computing,1,264,-0.0,0.0,1.0,gnd:7623494-0,264,1.0
gewalt,Gewalt,1,263,-0.0,0.0,1.0,gnd:4020832-1,263,1.0
regulierung,Regulierung,1,263,-0.0,0.0,1.0,gnd:4201190-5,263,1.0
wissensmanagement,Wissensmanagement,1,262,-0.0,0.0,1.0,gnd:4561842-2,262,1.0
supply chain management,Supply Chain Management,1,261,-0.0,0.0,1.0,gnd:4684051-5,261,1.0
informationsgesellschaft,Informationsgesellschaft,1,260,-0.0,0.0,1.0,gnd:4114011-4,260,1.0
quantenmechanik,Quantenmechanik,1,260,-0.0,0.0,1.0,gnd:4047989-4,260,1.0
kryptologie,Kryptologie,1,259,-0.0,0.0,1.0,gnd:4033329-2,259,1.0
qualitätsmanagement,Qualitätsmanagement,1,259,-0.0,0.0,1.0,gnd:4219057-5,259,1.0
armut,Armut,1,257,-0.0,0.0,1.0,gnd:4002963-3,257,1.0
kolonialismus,Kolonialismus,1,257,-0.0,0.0,1.0,gnd:4073624-6,257,1.0
soziale integration,Soziale Integration,1,257,-0.0,0.0,1.0,gnd:4077570-7,257,1.0
sozialpolitik,Sozialpolitik,1,257,-0.0,0.0,1.0,gnd:4055879-4,257,1.0
theologie,Theologie,1,257,-0.0,0.0,1.0,gnd:4059758-1,257,1.0
naturwissenschaften,Naturwissenschaften,1,256,-0.0,0.0,1.0,gnd:4041421-8,256,1.0
finite-elemente-methode,Finite-Elemente-Methode,1,254,-0.0,0.0,1.0,gnd:4017233-8,254,1.0
politisches system,Politisches System,1,254,-0.0,0.0,1.0,gnd:4046584-6,254,1.0
organisation,Organisation,1,252,-0.0,0.0,1.0,gnd:4043774-7,252,1.0
umweltschutz,Umweltschutz,1,249,-0.0,0.0,1.0,gnd:4061644-7,249,1.0
datensicherung,Datensicherung,1,247,-0.0,0.0,1.0,gnd:4011144-1,247,1.0
prozessmanagement,Prozessmanagement,1,247,-0.0,0.0,1.0,gnd:4353072-2,247,1.0
gefühl,Gefühl,1,246,-0.0,0.0,1.0,gnd:4019702-5,246,1.0
nanostrukturiertes material,Nanostrukturiertes Material,1,246,-0.0,0.0,1.0,gnd:4342626-8,246,1.0
personalentwicklung,Personalentwicklung,1,246,-0.0,0.0,1.0,gnd:4121465-1,246,1.0
finanzierung,Finanzierung,1,244,-0.0,0.0,1.0,gnd:4017182-6,244,1.0
r (programm),R (Programm),1,244,-0.0,0.0,1.0,gnd:4705956-4,244,1.0
dynamisches system,Dynamisches System,1,243,-0.0,0.0,1.0,gnd:4013396-5,243,1.0
feminismus,Feminismus,1,243,-0.0,0.0,1.0,gnd:4222126-2,243,1.0
strömungsmechanik,Strömungsmechanik,1,242,-0.0,0.0,1.0,gnd:4077970-1,242,1.0
judenvernichtung,Judenvernichtung,1,241,-0.0,0.0,1.0,gnd:4073091-8,241,1.0
methodologie,Methodologie,1,241,-0.0,0.0,1.0,gnd:4139716-2,241,1.0
wirtschaftswachstum,Wirtschaftswachstum,1,241,-0.0,0.0,1.0,gnd:4066527-6,241,1.0
sprache,Sprache,1,240,-0.0,0.0,1.0,gnd:4056449-6,240,1.0
analysis,Analysis,1,239,-0.0,0.0,1.0,gnd:4001865-9,239,1.0
landwirtschaft,Landwirtschaft,1,239,-0.0,0.0,1.0,gnd:4034402-2,239,1.0
roman,Roman,1,239,-0.0,0.0,1.0,gnd:4050479-7,239,1.0
lehrerbildung,Lehrerbildung,1,238,-0.0,0.0,1.0,gnd:4035093-9,238,1.0
kritik,Kritik,1,237,-0.0,0.0,1.0,gnd:4033229-9,237,1.0
geschlechterforschung,Geschlechterforschung,1,235,-0.0,0.0,1.0,gnd:4482930-9,235,1.0
logistik,Logistik,1,234,-0.0,0.0,1.0,gnd:4036210-3,234,1.0
empirische sozialforschung,Empirische Sozialforschung,1,233,-0.0,0.0,1.0,gnd:4014606-6,233,1.0
judentum,Judentum,1,233,-0.0,0.0,1.0,gnd:4114087-4,233,1.0
thermodynamik,Thermodynamik,1,233,-0.0,0.0,1.0,gnd:4059827-5,233,1.0
unterricht,Unterricht,1,233,-0.0,0.0,1.0,gnd:4062005-0,233,1.0
wissenschaftliches arbeiten,Wissenschaftliches Arbeiten,1,231,-0.0,0.0,1.0,gnd:4066571-9,231,1.0
begriff,Begriff,1,230,-0.0,0.0,1.0,gnd:4005248-5,230,1.0
partielle differentialgleichung,Partielle Differentialgleichung,1,230,-0.0,0.0,1.0,gnd:4044779-0,230,1.0
strafrecht,Strafrecht,1,229,-0.0,0.0,1.0,gnd:4057795-8,229,1.0
lehrbuch,Lehrbuch,1,227,-0.0,0.0,1.0,gnd:4123623-3,227,1.0
bevölkerungsentwicklung,Bevölkerungsentwicklung,1,224,-0.0,0.0,1.0,gnd:4006292-2,224,1.0
rassismus,Rassismus,1,224,-0.0,0.0,1.0,gnd:4076527-1,224,1.0
religionsunterricht,Religionsunterricht,1,224,-0.0,0.0,1.0,gnd:4049422-6,224,1.0
politische philosophie,Politische Philosophie,1,222,-0.0,0.0,1.0,gnd:4076226-9,222,1.0
interaktion,Interaktion,1,221,-0.0,0.0,1.0,gnd:4027266-7,221,1.0
verwaltung,Verwaltung,1,221,-0.0,0.0,1.0,gnd:4063317-2,221,1.0
mitgliedsstaaten,Mitgliedsstaaten,1,220,-0.0,0.0,1.0,gnd:4170174-4,220,1.0
soziale situation,Soziale Situation,1,220,-0.0,0.0,1.0,gnd:4077575-6,220,1.0
weltwirtschaft,Weltwirtschaft,1,219,-0.0,0.0,1.0,gnd:4065468-0,219,1.0
reform,Reform,1,218,-0.0,0.0,1.0,gnd:4115716-3,218,1.0
geschichtsschreibung,Geschichtsschreibung,1,217,-0.0,0.0,1.0,gnd:4020531-9,217,1.0
steuerrecht,Steuerrecht,1,217,-0.0,0.0,1.0,gnd:4116614-0,217,1.0
umweltökonomie,Umweltökonomie,1,217,-0.0,0.0,1.0,gnd:4061638-1,217,1.0
deutschunterricht,Deutschunterricht,1,214,-0.0,0.0,1.0,gnd:4011975-0,214,1.0
unternehmensgründung,Unternehmensgründung,1,212,-0.0,0.0,1.0,gnd:4078599-3,212,1.0
visualisierung,Visualisierung,1,212,-0.0,0.0,1.0,gnd:4188417-6,212,1.0
lineare algebra,Lineare Algebra,1,210,-0.0,0.0,1.0,gnd:4035811-2,210,1.0
lyrik,Lyrik,1,209,-0.0,0.0,1.0,gnd:4036774-5,209,1.0
simulation,Simulation,1,209,-0.0,0.0,1.0,gnd:4055072-2,209,1.0
finanzkrise,Finanzkrise,1,208,-0.0,0.0,1.0,gnd:7635855-0,208,1.0
multinationales unternehmen,Multinationales Unternehmen,1,208,-0.0,0.0,1.0,gnd:4075092-9,208,1.0
spieltheorie,Spieltheorie,1,208,-0.0,0.0,1.0,gnd:4056243-8,208,1.0
bildungspolitik,Bildungspolitik,1,207,-0.0,0.0,1.0,gnd:4006667-8,207,1.0
erwachsenenbildung,Erwachsenenbildung,1,207,-0.0,0.0,1.0,gnd:4015428-2,207,1.0
systemtheorie,Systemtheorie,1,207,-0.0,0.0,1.0,gnd:4058812-9,207,1.0
experiment,Experiment,1,206,-0.0,0.0,1.0,gnd:4015999-1,206,1.0
vergangenheitsbewältigung,Vergangenheitsbewältigung,1,206,-0.0,0.0,1.0,gnd:4061672-1,206,1.0
identität,Identität,1,205,-0.0,0.0,1.0,gnd:4026482-8,205,1.0
lernen,Lernen,1,204,-0.0,0.0,1.0,gnd:4035408-8,204,1.0
matlab,MATLAB,1,204,-0.0,0.0,1.0,gnd:4329066-8,204,1.0
psychotherapie,Psychotherapie,1,204,-0.0,0.0,1.0,gnd:4047746-0,204,1.0
krise,Krise,1,203,-0.0,0.0,1.0,gnd:4033203-2,203,1.0
e-learning,E-Learning,1,202,-0.0,0.0,1.0,gnd:4727098-6,202,1.0
arbeitswelt,Arbeitswelt,1,200,-0.0,0.0,1.0,gnd:4002805-7,200,1.0
corporate social responsibility,Corporate Social Responsibility,1,200,-0.0,0.0,1.0,gnd:7697760-2,200,1.0
technischer fortschritt,Technischer Fortschritt,1,200,-0.0,0.0,1.0,gnd:4059252-2,200,1.0
soziales netzwerk,Soziales Netzwerk,1,199,-0.0,0.0,1.0,gnd:4055762-5,199,1.0
kreditmarkt,Kreditmarkt,1,198,-0.0,0.0,1.0,gnd:4073788-3,198,1.0
architekturtheorie,Architekturtheorie,1,197,-0.0,0.0,1.0,gnd:4112587-3,197,1.0
entrepreneurship,Entrepreneurship,1,197,-0.0,0.0,1.0,gnd:7588126-3,197,1.0
klimaschutz,Klimaschutz,1,197,-0.0,0.0,1.0,gnd:7547705-1,197,1.0
ökonometrie,Ökonometrie,1,195,-0.0,0.0,1.0,gnd:4132280-0,195,1.0
erfolgsfaktor,Erfolgsfaktor,1,194,-0.0,0.0,1.0,gnd:4197034-2,194,1.0
flüchtling,Flüchtling,1,193,-0.0,0.0,1.0,gnd:4017604-6,193,1.0
gewalttätigkeit,Gewalttätigkeit,1,193,-0.0,0.0,1.0,gnd:4157237-3,193,1.0
wirtschaftsinformatik,Wirtschaftsinformatik,1,193,-0.0,0.0,1.0,gnd:4112736-5,193,1.0
inklusion (soziologie),Inklusion (Soziologie),1,192,-0.0,0.0,1.0,gnd:4696474-5,192,1.0
zweiter weltkrieg,Zweiter Weltkrieg,1,192,-0.0,0.0,1.0,gnd:4079167-1,192,1.0
computerspiel,Computerspiel,1,191,-0.0,0.0,1.0,gnd:4010457-6,191,1.0
entwicklungspolitik,Entwicklungspolitik,1,191,-0.0,0.0,1.0,gnd:4014957-2,191,1.0
neuronales netz,Neuronales Netz,1,191,-0.0,0.0,1.0,gnd:4226127-2,191,1.0
online-ressource,Online-Ressource,1,191,-0.0,0.0,1.0,gnd:4511937-5,191,1.0
software engineering,Software Engineering,1,191,-0.0,0.0,1.0,gnd:4116521-4,191,1.0
innenarchitektur,Innenarchitektur,1,190,-0.0,0.0,1.0,gnd:4072819-5,190,1.0
rechnernetz,Rechnernetz,1,190,-0.0,0.0,1.0,gnd:4070085-9,190,1.0
evaluation,Evaluation,1,189,-0.0,0.0,1.0,gnd:4071034-8,189,1.0
alter,Alter,1,188,-0.0,0.0,1.0,gnd:4001446-0,188,1.0
corporate governance,Corporate Governance,1,188,-0.0,0.0,1.0,gnd:4419850-4,188,1.0
geschlechtsunterschied,Geschlechtsunterschied,1,188,-0.0,0.0,1.0,gnd:4071781-1,188,1.0
studium,Studium,1,188,-0.0,0.0,1.0,gnd:4058216-4,188,1.0
auswirkung,Auswirkung,1,187,-0.0,0.0,1.0,gnd:4112646-4,187,1.0
betriebswirtschaftslehre,Betriebswirtschaftslehre,1,186,-0.0,0.0,1.0,gnd:4069402-1,186,1.0
produktentwicklung,Produktentwicklung,1,186,-0.0,0.0,1.0,gnd:4139402-1,186,1.0
terrorismus,Terrorismus,1,186,-0.0,0.0,1.0,gnd:4059534-1,186,1.0
soziologische theorie,Soziologische Theorie,1,185,-0.0,0.0,1.0,gnd:4077628-1,185,1.0
antisemitismus,Antisemitismus,1,184,-0.0,0.0,1.0,gnd:4002333-3,184,1.0
inklusive pädagogik,Inklusive Pädagogik,1,184,-0.0,0.0,1.0,gnd:7693876-1,184,1.0
numerische mathematik,Numerische Mathematik,1,184,-0.0,0.0,1.0,gnd:4042805-9,184,1.0
völkerrecht,Völkerrecht,1,184,-0.0,0.0,1.0,gnd:4063693-8,184,1.0
bekämpfung,Bekämpfung,1,183,-0.0,0.0,1.0,gnd:4112701-8,183,1.0
diskurs,Diskurs,1,183,-0.0,0.0,1.0,gnd:4012475-7,183,1.0
geschäftsmodell,Geschäftsmodell,1,183,-0.0,0.0,1.0,gnd:7737985-8,183,1.0
organisationsentwicklung,Organisationsentwicklung,1,183,-0.0,0.0,1.0,gnd:4126887-8,183,1.0
schwarze,Schwarze,1,183,-0.0,0.0,1.0,gnd:4116433-7,183,1.0
kundenmanagement,Kundenmanagement,1,182,-0.0,0.0,1.0,gnd:4236865-0,182,1.0
technik,Technik,1,182,-0.0,0.0,1.0,gnd:4059205-4,182,1.0
biotechnologie,Biotechnologie,1,181,-0.0,0.0,1.0,gnd:4069491-4,181,1.0
dissertation,Dissertation,1,181,-0.0,0.0,1.0,gnd:4012494-0,181,1.0
kraftfahrzeugindustrie,Kraftfahrzeugindustrie,1,181,-0.0,0.0,1.0,gnd:4032690-1,181,1.0
informationsmanagement,Informationsmanagement,1,180,-0.0,0.0,1.0,gnd:4114012-6,180,1.0
nanotechnologie,Nanotechnologie,1,179,-0.0,0.0,1.0,gnd:4327470-5,179,1.0
bibliothek,Bibliothek,1,178,-0.0,0.0,1.0,gnd:4006439-6,178,1.0
fundamentalismus,Fundamentalismus,1,177,-0.0,0.0,1.0,gnd:4137178-1,177,1.0
kulturelle identität,Kulturelle Identität,1,177,-0.0,0.0,1.0,gnd:4033542-2,177,1.0
energiepolitik,Energiepolitik,1,176,-0.0,0.0,1.0,gnd:4014715-0,176,1.0
hochschulschrift,Hochschulschrift,1,176,-0.0,0.0,1.0,gnd:4113937-9,176,1.0
multikulturelle gesellschaft,Multikulturelle Gesellschaft,1,176,-0.0,0.0,1.0,gnd:4214151-5,176,1.0
interkulturalität,Interkulturalität,1,175,-0.0,0.0,1.0,gnd:4519498-1,175,1.0
kooperation,Kooperation,1,175,-0.0,0.0,1.0,gnd:4032386-9,175,1.0
kulturkontakt,Kulturkontakt,1,175,-0.0,0.0,1.0,gnd:4033569-0,175,1.0
verfassungsrecht,Verfassungsrecht,1,175,-0.0,0.0,1.0,gnd:4062801-2,175,1.0
geldpolitik,Geldpolitik,1,174,-0.0,0.0,1.0,gnd:4019902-2,174,1.0
politische bildung,Politische Bildung,1,174,-0.0,0.0,1.0,gnd:4046526-3,174,1.0
sicherheitspolitik,Sicherheitspolitik,1,174,-0.0,0.0,1.0,gnd:4116489-1,174,1.0
aufsatzsammlung,Aufsatzsammlung,1,173,-0.0,0.0,1.0,gnd:4143413-4,173,1.0
kindertagesstätte,Kindertagesstätte,1,173,-0.0,0.0,1.0,gnd:4030638-0,173,1.0
linguistik,Linguistik,1,173,-0.0,0.0,1.0,gnd:4074250-7,173,1.0
makroökonomie,Makroökonomie,1,173,-0.0,0.0,1.0,gnd:4037174-8,173,1.0
nanopartikel,Nanopartikel,1,173,-0.0,0.0,1.0,gnd:4333369-2,173,1.0
politischer wandel,Politischer Wandel,1,173,-0.0,0.0,1.0,gnd:4175047-0,173,1.0
chemie,Chemie,1,172,-0.0,0.0,1.0,gnd:4009816-3,172,1.0
java (programmiersprache),Java (Programmiersprache),1,172,-0.0,0.0,1.0,gnd:4401313-9,172,1.0
krieg,Krieg,1,172,-0.0,0.0,1.0,gnd:4033114-3,172,1.0
wissenschaftliches manuskript,Wissenschaftliches Manuskript,1,172,-0.0,0.0,1.0,gnd:4066596-3,172,1.0
antike,Antike,1,170,-0.0,0.0,1.0,gnd:4068754-5,170,1.0
deep learning,Deep learning,1,170,-0.0,0.0,1.0,gnd:1135597375,170,1.0
diskursanalyse,Diskursanalyse,1,170,-0.0,0.0,1.0,gnd:4194747-2,170,1.0
datenverarbeitung,Datenverarbeitung,1,169,-0.0,0.0,1.0,gnd:4011152-0,169,1.0
dienstleistung,Dienstleistung,1,169,-0.0,0.0,1.0,gnd:4012178-1,169,1.0
einwanderer,Einwanderer,1,169,-0.0,0.0,1.0,gnd:4151434-8,169,1.0
lebensmittel,Lebensmittel,1,169,-0.0,0.0,1.0,gnd:4034870-2,169,1.0
nanostruktur,Nanostruktur,1,169,-0.0,0.0,1.0,gnd:4204530-7,169,1.0
polymere,Polymere,1,169,-0.0,0.0,1.0,gnd:4046699-1,169,1.0
strukturwandel,Strukturwandel,1,169,-0.0,0.0,1.0,gnd:4058136-6,169,1.0
wirtschaftsmathematik,Wirtschaftsmathematik,1,169,-0.0,0.0,1.0,gnd:4066472-7,169,1.0
