LabelNorm,RawLabelExample,SubjectID,TrainCount,DevCount,TestCount,TotalCount
abendmahlslehre,Abendmahlslehre,gnd:4273895-7,0,0,2,2
abenteuer,Abenteuer,gnd:4141014-2,1,1,0,2
abenteuerfilm,Abenteuerfilm,gnd:4140759-3,1,0,1,2
abenteuerreise,Abenteuerreise,gnd:4112435-2,1,0,0,1
abenteurer,Abenteurer,gnd:4141017-8,0,0,1,1
aberglaube,Aberglaube,gnd:4000096-5,5,0,1,6
abfall,Abfall,gnd:4000098-9,15,7,1,23
abfall (motiv),Abfall (Motiv),gnd:4373822-9,3,0,0,3
abfallanalyse,Abfallanalyse,gnd:4516234-7,2,0,0,2
abfallaufkommen,Abfallaufkommen,gnd:4372598-3,1,0,0,1
abfallbehandlung,Abfallbehandlung,gnd:4124508-8,36,13,8,57
abfallbeseitigung,Abfallbeseitigung,gnd:4000100-3,15,4,0,19
abfallbeseitigungsrecht,Abfallbeseitigungsrecht,gnd:4141026-9,2,0,0,2
abfallpolitik,Abfallpolitik,gnd:4205149-6,1,0,0,1
abfallrecht,Abfallrecht,gnd:4194123-8,7,1,0,8
abfalltourismus,Abfalltourismus,gnd:4331754-6,1,0,0,1
abfallvermeidung,Abfallvermeidung,gnd:4203674-4,15,7,2,24
abfallwirtschaft,Abfallwirtschaft,gnd:4000107-6,28,2,13,43
abfallwirtschaftsplan,Abfallwirtschaftsplan,gnd:4508678-3,2,1,0,3
abferkelbucht,Abferkelbucht,gnd:4222487-1,0,0,1,1
abfertigung,Abfertigung,gnd:4357373-3,2,0,0,2
abfindung,Abfindung,gnd:4000110-6,3,0,1,4
abfindungsanspruch,Abfindungsanspruch,gnd:4141030-0,1,0,0,1
abfindungsklausel,Abfindungsklausel,gnd:4141031-2,1,0,0,1
abfluss,Abfluss,gnd:4000114-3,5,1,0,6
abflusskurve,Abflusskurve,gnd:4222491-3,0,1,0,1
abflussmenge,Abflussmenge,gnd:4141033-6,0,1,0,1
abflussmessung,Abflussmessung,gnd:4141034-8,0,1,0,1
abflussregime,Abflussregime,gnd:4130899-2,1,2,0,3
abformung,Abformung,gnd:4219522-6,1,0,0,1
abfrage,Abfrage,gnd:4198788-3,8,4,0,12
abfragesprache,Abfragesprache,gnd:4134011-5,8,2,0,10
abfrageverarbeitung,Abfrageverarbeitung,gnd:4378490-2,25,8,4,37
abgabe,Abgabe,gnd:4129438-5,2,0,0,2
abgabenbelastung,Abgabenbelastung,gnd:4000120-9,0,1,1,2
abgabenrecht,Abgabenrecht,gnd:4000121-0,1,1,0,2
abgas,Abgas,gnd:4000123-4,2,1,1,4
abgasanlage,Abgasanlage,gnd:4141040-3,0,1,0,1
abgasemission,Abgasemission,gnd:4141041-5,11,4,2,17
abgasentschwefelung,Abgasentschwefelung,gnd:4141042-7,1,1,0,2
abgaskatalysator,Abgaskatalysator,gnd:4000124-6,1,1,0,2
abgasreinigung,Abgasreinigung,gnd:4000125-8,6,1,1,8
abgasrückführung,Abgasrückführung,gnd:4141043-9,2,1,0,3
abgasschalldämpfer,Abgasschalldämpfer,gnd:4221292-3,0,1,0,1
abgastemperatur,Abgastemperatur,gnd:4191887-3,1,0,0,1
abgasturboaufladung,Abgasturboaufladung,gnd:4141044-0,1,1,0,2
abgasturbolader,Abgasturbolader,gnd:4141045-2,2,0,0,2
abgasuntersuchung,Abgasuntersuchung,gnd:4331842-3,2,0,1,3
abgaswärme,Abgaswärme,gnd:4141046-4,1,0,0,1
abgebrannter kernbrennstoff,Abgebrannter Kernbrennstoff,gnd:4421440-6,0,1,0,1
abgeleitete kategorie,Abgeleitete Kategorie,gnd:4504943-9,1,0,1,2
abgeltungsteuer,Abgeltungsteuer,gnd:7591612-5,6,3,3,12
abgeordneter,Abgeordneter,gnd:4000135-0,16,4,11,31
abgeschlossene menge,Abgeschlossene Menge,gnd:4575601-6,1,0,0,1
abgestimmtes verhalten,Abgestimmtes Verhalten,gnd:4141057-9,0,0,1,1
abgraten,Abgraten,gnd:4014874-9,1,0,0,1
abgrenzung,Abgrenzung,gnd:4138430-1,6,2,3,11
abgrenzung (motiv),Abgrenzung (Motiv),gnd:1149073837,0,0,1,1
abhängiges unternehmen,Abhängiges Unternehmen,gnd:4122750-5,4,0,1,5
abhängigkeit,Abhängigkeit,gnd:4000145-3,9,0,1,10
abies grandis,Abies grandis,gnd:4289352-5,1,0,0,1
abiotischer faktor,Abiotischer Faktor,gnd:4292953-2,3,3,2,8
abiturient,Abiturient,gnd:4000154-4,7,2,2,11
abiturientin,Abiturientin,gnd:4218992-5,1,0,0,1
abklingen (physik),Abklingen (Physik),gnd:4287195-5,0,1,0,1
abkühlung,Abkühlung,gnd:4279871-1,1,0,0,1
abkürzung,Abkürzung,gnd:4000158-1,4,2,2,8
ablagerung,Ablagerung,gnd:4397667-0,2,0,0,2
ablass,Ablass,gnd:4141067-1,2,0,0,2
ablassstreit,Ablassstreit,gnd:4141069-5,1,0,0,1
ablation (medizin),Ablation (Medizin),gnd:4276459-2,1,0,1,2
ablauforganisation,Ablauforganisation,gnd:4112443-1,4,1,1,6
ablaufplanung,Ablaufplanung,gnd:4122751-7,12,2,3,17
ablaufsteuerung,Ablaufsteuerung,gnd:4301882-8,1,1,0,2
ablaufverfolgung,Ablaufverfolgung,gnd:4767115-4,1,0,0,1
ablehnung,Ablehnung,gnd:4207950-0,8,1,0,9
ableitung (infinitesimalrechnung),Ableitung (Infinitesimalrechnung),gnd:4233840-2,3,1,0,4
ableitung (linguistik),Ableitung (Linguistik),gnd:4068366-7,1,0,1,2
ableitung gebrochener ordnung,Ableitung gebrochener Ordnung,gnd:4365956-1,6,2,1,9
ablenkung,Ablenkung,gnd:4197733-6,2,0,0,2
ablenkung (physik),Ablenkung (Physik),gnd:4338603-9,0,1,0,1
abluftreinigung,Abluftreinigung,gnd:4277136-5,3,0,0,3
ablösung,Ablösung,gnd:4226200-8,5,1,1,7
abmagerungsdiät,Abmagerungsdiät,gnd:4068367-9,1,0,1,2
abmahnung,Abmahnung,gnd:4141074-9,1,2,0,3
abmarkung,Abmarkung,gnd:4141075-0,1,0,0,1
abnahme,Abnahme,gnd:4141076-2,2,2,0,4
abnahmeprüfung,Abnahmeprüfung,gnd:4210478-6,5,0,0,5
abnehmer,Abnehmer,gnd:4343216-5,2,0,0,2
abolitionismus,Abolitionismus,gnd:4302520-1,12,4,3,19
abonnement,Abonnement,gnd:4141079-8,3,0,0,3
aborigines,Aborigines,gnd:4000178-7,8,4,2,14
aborigines (motiv),Aborigines (Motiv),gnd:4350816-9,1,0,0,1
above-threshold ionization,Above-threshold ionization,gnd:120824017X,0,1,0,1
abraum,Abraum,gnd:4205548-9,1,0,0,1
abraumkippe,Abraumkippe,gnd:4358840-2,1,1,0,2
abrechnung,Abrechnung,gnd:4120821-3,1,0,0,1
abrechnungsmanagement,Abrechnungsmanagement,gnd:4621481-1,2,0,0,2
abrichten,Abrichten,gnd:4141086-5,1,0,0,1
abrieb,Abrieb,gnd:4461847-5,2,0,0,2
abrüstung,Abrüstung,gnd:4000197-0,5,0,2,7
abs-kunststoffe,ABS-Kunststoffe,gnd:4335816-0,2,0,0,2
absatz,Absatz,gnd:4000201-9,5,0,0,5
absatzferkel,Absatzferkel,gnd:4251192-6,1,0,0,1
absatzfinanzierung,Absatzfinanzierung,gnd:4141089-0,1,0,1,2
absatzmarkt,Absatzmarkt,gnd:4141092-0,2,0,0,2
absatzmethode,Absatzmethode,gnd:4141093-2,1,0,1,2
absatzmittler,Absatzmittler,gnd:4124514-3,1,1,0,2
absatzweg,Absatzweg,gnd:4112445-5,7,0,4,11
absaugen,Absaugen,gnd:4141098-1,1,0,0,1
absaugungsanlage,Absaugungsanlage,gnd:4212207-7,1,0,0,1
abschaffung,Abschaffung,gnd:4200586-3,12,5,0,17
abschaltung,Abschaltung,gnd:4513722-5,1,0,0,1
abschattung,Abschattung,gnd:4402719-9,0,1,0,1
abscheidung,Abscheidung,gnd:4141100-6,6,1,0,7
abschiebung,Abschiebung,gnd:4226850-3,6,1,3,10
abschiebung (geologie),Abschiebung (Geologie),gnd:4316827-9,1,2,0,3
abschiebungshaft,Abschiebungshaft,gnd:4192185-9,1,0,2,3
abschied,Abschied,gnd:4215139-9,1,0,0,1
abschied (motiv),Abschied (Motiv),gnd:4000218-4,1,0,0,1
abschiedsbrief,Abschiedsbrief,gnd:4191940-3,1,0,0,1
abschirmung,Abschirmung,gnd:4205080-7,3,0,1,4
abschlussprüfer,Abschlussprüfer,gnd:4120823-7,8,0,3,11
abschlussprüfung,Abschlussprüfung,gnd:4124516-7,33,6,10,49
abschrecken,Abschrecken,gnd:4141105-5,1,2,1,4
abschreckung,Abschreckung,gnd:4000230-5,3,0,0,3
abschrift,Abschrift,gnd:4279136-4,1,0,0,1
abschätzung,Abschätzung,gnd:4304375-6,3,0,0,3
abscisinsäure,Abscisinsäure,gnd:4141106-7,0,1,0,1
absehen von strafe,Absehen von Strafe,gnd:4273851-9,1,0,0,1
absenkung,Absenkung,gnd:4315323-9,1,0,0,1
absetzung für abnutzung,Absetzung für Abnutzung,gnd:4141108-0,1,0,0,1
absicht,Absicht,gnd:4122752-9,0,0,1,1
absolute datierung,Absolute Datierung,gnd:4650545-3,1,0,0,1
absolute geometrie,Absolute Geometrie,gnd:4193046-0,1,0,0,1
absoluter klassenkörper,Absoluter Klassenkörper,gnd:4132442-0,2,0,0,2
absolutes recht,Absolutes Recht,gnd:4141120-1,1,0,0,1
absolutheitsanspruch,Absolutheitsanspruch,gnd:4000242-1,1,1,0,2
absolutismus,Absolutismus,gnd:4000243-3,3,0,2,5
absolvent,Absolvent,gnd:4191664-5,3,0,0,3
absonderung,Absonderung,gnd:4325964-9,1,0,0,1
absorber,Absorber,gnd:4138119-1,2,0,0,2
absorption,Absorption,gnd:4000245-7,6,2,1,9
absorptionskoeffizient,Absorptionskoeffizient,gnd:4279469-9,2,0,0,2
absorptionskältemaschine,Absorptionskältemaschine,gnd:4141127-4,2,0,0,2
absorptionsspektroskopie,Absorptionsspektroskopie,gnd:4141129-8,9,2,0,11
absorptionsspektrum,Absorptionsspektrum,gnd:4141130-4,3,0,0,3
absprache,Absprache,gnd:4478006-0,1,0,0,1
abstammung,Abstammung,gnd:4141137-7,0,0,1,1
abstammungsrecht,Abstammungsrecht,gnd:4141138-9,4,0,3,7
abstand,Abstand,gnd:4228463-6,4,1,0,5
abstandsgeometrie,Abstandsgeometrie,gnd:4141139-0,1,1,0,2
abstandsregelung,Abstandsregelung,gnd:4130266-7,1,0,0,1
abstimmbarer laser,Abstimmbarer Laser,gnd:4137300-5,2,0,0,2
abstimmung,Abstimmung,gnd:4166306-8,10,2,5,17
abstimmung (frequenz),Abstimmung (Frequenz),gnd:4323022-2,1,0,0,1
abstinenz,Abstinenz,gnd:4137441-1,1,0,0,1
abstrahlung,Abstrahlung,gnd:4513725-0,4,1,0,5
abstrakte differentialgleichung,Abstrakte Differentialgleichung,gnd:4141144-4,2,0,0,2
abstrakte interpretation,Abstrakte Interpretation,gnd:4621153-6,4,0,0,4
abstrakte kunst,Abstrakte Kunst,gnd:4141146-8,0,0,1,1
abstrakte rechenmaschine,Abstrakte Rechenmaschine,gnd:4141151-1,2,0,0,2
abstrakte zustandsmaschine,Abstrakte Zustandsmaschine,gnd:4637783-9,3,0,0,3
abstrakter automat,Abstrakter Automat,gnd:4141155-9,3,0,1,4
abstrakter datentyp,Abstrakter Datentyp,gnd:4120827-4,1,0,0,1
abstraktes gefährdungsdelikt,Abstraktes Gefährdungsdelikt,gnd:4270204-5,0,1,0,1
abstraktion,Abstraktion,gnd:4141162-6,4,2,2,8
abstraktionsebene,Abstraktionsebene,gnd:4254804-4,1,0,0,1
abstraktionsrelation,Abstraktionsrelation,gnd:4418297-1,1,0,0,1
absturzunfall,Absturzunfall,gnd:4126529-4,1,0,0,1
absurde literatur,Absurde Literatur,gnd:4202120-0,2,0,0,2
absurdes drama,Absurdes Drama,gnd:4141169-9,2,0,2,4
abszess,Abszess,gnd:4137515-4,1,0,0,1
abt,Abt,gnd:4000273-1,1,0,0,1
abtastratenumsetzung,Abtastratenumsetzung,gnd:4226298-7,0,0,1,1
abtastregelung,Abtastregelung,gnd:4129818-4,1,0,0,1
abtastsystem,Abtastsystem,gnd:4129844-5,2,0,0,2
abtasttheorie,Abtasttheorie,gnd:4141174-2,0,0,1,1
abtastung,Abtastung,gnd:4140375-7,3,0,0,3
abteilung,Abteilung,gnd:4210296-0,0,1,0,1
abtragen,Abtragen,gnd:4141176-6,1,1,0,2
abtragung,Abtragung,gnd:4000281-0,1,0,0,1
abtretung,Abtretung,gnd:4017827-4,3,0,2,5
abwanderung,Abwanderung,gnd:4141185-7,0,1,1,2
abwasser,Abwasser,gnd:4000302-4,9,3,0,12
abwasseranalyse,Abwasseranalyse,gnd:4122754-2,2,0,0,2
abwasseranlage,Abwasseranlage,gnd:4499192-7,16,2,2,20
abwasseraufbereitung,Abwasseraufbereitung,gnd:4212586-8,5,0,0,5
abwasserbeseitigung,Abwasserbeseitigung,gnd:4000306-1,7,7,1,15
abwasserbeseitigungsgebühr,Abwasserbeseitigungsgebühr,gnd:4382627-1,0,0,1,1
abwassereinleitung,Abwassereinleitung,gnd:4294836-8,0,1,0,1
abwasserinstallation,Abwasserinstallation,gnd:4343210-4,1,0,0,1
abwasserkanal,Abwasserkanal,gnd:4211329-5,4,1,0,5
abwasserleitung,Abwasserleitung,gnd:4000311-5,3,1,0,4
abwasserpumpe,Abwasserpumpe,gnd:4205552-0,0,0,1,1
abwasserreinigung,Abwasserreinigung,gnd:4000313-9,78,25,12,115
abwassertechnologie,Abwassertechnologie,gnd:4122755-4,22,4,2,28
abwasserteich,Abwasserteich,gnd:4214867-4,1,0,0,1
abwasservermeidung,Abwasservermeidung,gnd:4378810-5,4,1,1,6
abwasserverregnung,Abwasserverregnung,gnd:4491535-4,1,0,0,1
abwasserverwertung,Abwasserverwertung,gnd:4154103-0,6,4,2,12
abwechslung,Abwechslung,gnd:7557535-8,1,0,0,1
abwehr,Abwehr,gnd:4141194-8,7,1,0,8
abwehranspruch,Abwehranspruch,gnd:4120829-8,1,0,1,2
abwehrmechanismus,Abwehrmechanismus,gnd:4000317-6,1,1,0,2
abwehrreaktion,Abwehrreaktion,gnd:4416206-6,11,2,5,18
abwehrverhalten,Abwehrverhalten,gnd:4139147-0,3,0,1,4
abweichendes sexualverhalten,Abweichendes Sexualverhalten,gnd:4141198-5,2,0,2,4
abweichendes verhalten,Abweichendes Verhalten,gnd:4000320-6,28,10,14,52
abweichendes verhalten (motiv),Abweichendes Verhalten (Motiv),gnd:4534889-3,1,0,1,2
abweichung,Abweichung,gnd:4141199-7,3,3,0,6
abweichungsgesetzgebung,Abweichungsgesetzgebung,gnd:1042547041,2,0,0,2
abwesenheit,Abwesenheit,gnd:4315677-0,2,0,0,2
abwicklung,Abwicklung,gnd:4316005-0,1,0,2,3
abwägung,Abwägung,gnd:4141183-3,7,1,2,10
abwägungsgebot,Abwägungsgebot,gnd:4195511-0,1,0,1,2
abwärme,Abwärme,gnd:4000301-2,1,0,0,1
abzinsung,Abzinsung,gnd:4205165-4,1,0,0,1
abzug (chemisches labor),Abzug (Chemisches Labor),gnd:4270123-5,1,0,0,1
abzählen,Abzählen,gnd:4508960-7,2,0,0,2
abzählende geometrie,Abzählende Geometrie,gnd:4141209-6,3,0,0,3
abzählende kombinatorik,Abzählende Kombinatorik,gnd:4132720-2,7,0,1,8
abzähltheorie,Abzähltheorie,gnd:4125171-4,1,0,0,1
abänderungsklage,Abänderungsklage,gnd:4140965-6,1,0,0,1
accelerator driven system,Accelerator driven system,gnd:1277556342,1,0,1,2
access (programm),Access (Programm),gnd:4303535-8,4,1,0,5
access 2002,Access 2002,gnd:4643438-0,2,2,0,4
access 2003,Access 2003,gnd:4756611-5,1,1,0,2
access 2007,Access 2007,gnd:7564284-0,3,0,1,4
access 2010,Access 2010,gnd:7708347-7,5,3,1,9
access 2013,Access 2013,gnd:1033492388,6,1,0,7
access 2016,Access 2016,gnd:1081336129,4,0,0,4
access 2019,Access 2019,gnd:1195626339,0,1,1,2
accessoire,Accessoire,gnd:4211521-8,0,1,1,2
account (datenverarbeitung),Account (Datenverarbeitung),gnd:1103700952,2,0,1,3
acedia,Acedia,gnd:4141227-8,1,0,0,1
acene,Acene,gnd:4141230-8,0,1,0,1
acetate,Acetate,gnd:4141236-9,1,0,0,1
acetobacterium dehalogenans,Acetobacterium dehalogenans,gnd:4529586-4,0,0,1,1
acetogene bakterien,Acetogene Bakterien,gnd:4353981-6,0,1,0,1
acetylcholin,Acetylcholin,gnd:4141256-4,1,0,0,1
acetylcholinrezeptor,Acetylcholinrezeptor,gnd:4133006-7,0,0,1,1
acetylen,Acetylen,gnd:4000345-0,2,0,0,2
acetylierung,Acetylierung,gnd:4221286-8,1,0,0,1
achondrit,Achondrit,gnd:4381098-6,1,0,0,1
achse,Achse,gnd:4139666-2,1,0,0,1
achsenzeit,Achsenzeit,gnd:4192746-1,2,0,0,2
acht-bit-mikroprozessor,Acht-Bit-Mikroprozessor,gnd:4141281-3,0,1,0,1
achte nebengruppe,Achte Nebengruppe,gnd:4370341-0,1,1,0,2
achtsamkeit,Achtsamkeit,gnd:4297929-8,33,7,11,51
achtsamkeitsbasierte stressreduktion,Achtsamkeitsbasierte Stressreduktion,gnd:1037948017,0,0,1,1
achtundsechziger,Achtundsechziger,gnd:4394007-9,20,6,10,36
achtundsechziger (motiv),Achtundsechziger (Motiv),gnd:7850830-7,3,0,0,3
achtung,Achtung,gnd:4141283-7,19,1,5,25
achtzigjähriger krieg,Achtzigjähriger Krieg,gnd:4139650-9,1,0,1,2
aché,Aché,gnd:4000357-7,1,0,0,1
acid house,Acid House,gnd:4502817-5,0,0,1,1
acidität,Acidität,gnd:4141285-0,2,0,0,2
acinetobacter,Acinetobacter,gnd:4278742-7,1,0,0,1
acker,Acker,gnd:4141288-6,3,0,1,4
ackerbau,Ackerbau,gnd:4000395-4,5,1,0,6
ackerboden,Ackerboden,gnd:4141296-5,2,0,0,2
ackerfläche,Ackerfläche,gnd:4141290-4,1,0,0,1
ackerrandstreifen,Ackerrandstreifen,gnd:4205554-4,0,0,1,1
ackerschmalwand,Ackerschmalwand,gnd:4141299-0,20,4,8,32
ackerunkraut,Ackerunkraut,gnd:4120832-8,3,1,1,5
ackerunkrautgesellschaft,Ackerunkrautgesellschaft,gnd:4128209-7,0,1,0,1
aconitat-hydratase,Aconitat-Hydratase,gnd:4141304-0,1,0,0,1
acridinfarbstoff,Acridinfarbstoff,gnd:4141308-8,1,0,0,1
acrolein,Acrolein,gnd:4141314-3,1,0,0,1
acrylamid,Acrylamid,gnd:4323198-6,1,0,0,1
acrylamidderivate,Acrylamidderivate,gnd:4141318-0,0,0,1,1
acrylate,Acrylate,gnd:4000412-0,1,0,0,1
acrylmalerei,Acrylmalerei,gnd:4132048-7,1,0,0,1
acrylnitrilderivate,Acrylnitrilderivate,gnd:4405355-1,1,0,0,1
acrylsäurederivate,Acrylsäurederivate,gnd:4205555-6,1,1,0,2
actin,Actin,gnd:4201876-6,1,0,0,1
actin-filament,Actin-Filament,gnd:4211337-4,1,0,0,1
actinoide,Actinoide,gnd:4141330-1,3,0,2,5
actinoidverbindungen,Actinoidverbindungen,gnd:4141333-7,1,0,1,2
actionfilm,Actionfilm,gnd:4140847-0,1,0,0,1
actionscript,ActionScript,gnd:4624975-8,2,0,0,2
actionscript 1.0,ActionScript 1.0,gnd:4773719-0,1,0,0,1
actionscript 2.0,ActionScript 2.0,gnd:4773720-7,1,0,0,1
actionscript 3.0,ActionScript 3.0,gnd:7554963-3,1,1,0,2
active directory,Active Directory,gnd:4561311-4,4,1,0,5
activex,ActiveX,gnd:4433837-5,1,0,0,1
activin,Activin,gnd:4490155-0,1,0,0,1
actor-network-theory,Actor-Network-Theory,gnd:7539965-9,9,5,1,15
acyl-carrier-protein,Acyl-Carrier-Protein,gnd:4405493-2,1,0,0,1
acylierung,Acylierung,gnd:4141353-2,1,0,0,1
acylneuraminsäuren,Acylneuraminsäuren,gnd:4181151-3,1,0,1,2
acyltransferasen,Acyltransferasen,gnd:4185864-5,0,1,1,2
acyrthosiphon pisum,Acyrthosiphon pisum,gnd:4283667-0,1,1,0,2
ad-hoc-netz,Ad-hoc-Netz,gnd:4674811-8,16,3,3,22
ad-hoc-publizität,Ad-hoc-Publizität,gnd:4525278-6,3,1,1,5
ada,Ada,gnd:4000430-2,3,0,0,3
ada 95,Ada 95,gnd:4436900-1,1,0,0,1
adab,Adab,gnd:4236812-1,0,0,2,2
adabas,ADABAS,gnd:4337937-0,0,1,0,1
adaption (literatur),Adaption (Literatur),gnd:102289935X,2,2,4,8
adaptive antenne,Adaptive Antenne,gnd:4226531-9,5,0,0,5
adaptive optik,Adaptive Optik,gnd:4285929-3,9,1,0,10
adaptive signalverarbeitung,Adaptive Signalverarbeitung,gnd:4128146-9,5,2,0,7
adaptive steuerung,Adaptive Steuerung,gnd:4112450-9,5,1,0,6
adaptiver test,Adaptiver Test,gnd:7528815-1,2,0,0,2
adaptives filter,Adaptives Filter,gnd:4141377-5,8,0,0,8
adaptives gitter,Adaptives Gitter,gnd:4333769-7,2,0,0,2
adaptives prozessmodell,Adaptives Prozessmodell,gnd:4775650-0,1,2,0,3
adaptives system,Adaptives System,gnd:4247928-9,21,6,4,31
adaptives verfahren,Adaptives Verfahren,gnd:4310560-9,6,2,1,9
adaptivregelung,Adaptivregelung,gnd:4000457-0,27,9,1,37
adaptronik,Adaptronik,gnd:4473681-2,0,1,0,1
add in,Add in,gnd:4388727-2,1,0,0,1
addierwerk,Addierwerk,gnd:4302698-9,0,1,1,2
addition,Addition,gnd:4296282-1,1,0,0,1
additionsreaktion,Additionsreaktion,gnd:4141380-5,7,1,2,10
additiv,Additiv,gnd:4112451-0,2,1,0,3
additive semantik,Additive Semantik,gnd:4141386-6,0,1,0,1
additive zahlentheorie,Additive Zahlentheorie,gnd:4141387-8,3,1,0,4
addukt,Addukt,gnd:4141390-8,1,0,0,1
adel,Adel,gnd:4000464-8,18,4,10,32
adelshaus,Adelshaus,gnd:4141396-9,1,2,0,3
adenocarcinom,Adenocarcinom,gnd:4141401-9,1,1,0,2
adenomatöser polyp,Adenomatöser Polyp,gnd:4227279-8,1,0,0,1
adhäsine,Adhäsine,gnd:4233588-7,1,1,0,2
adhäsion,Adhäsion,gnd:4000493-4,8,3,2,13
adiabatensatz,Adiabatensatz,gnd:4204479-0,1,0,0,1
adiabatischer limes,Adiabatischer Limes,gnd:4341720-6,2,0,0,2
adiabatischer prozess,Adiabatischer Prozess,gnd:4297417-3,1,0,0,1
adiaphora,Adiaphora,gnd:4393028-1,0,0,1,1
adipokine,Adipokine,gnd:7714850-2,0,0,1,1
adjektiv,Adjektiv,gnd:4000497-1,4,1,2,7
adjektivadverb,Adjektivadverb,gnd:4492470-7,4,0,0,4
adjektizische klage,Adjektizische Klage,gnd:7606647-2,1,0,0,1
adjungierte darstellung,Adjungierte Darstellung,gnd:4333424-6,1,0,0,1
adjunktion (mathematik),Adjunktion (Mathematik),gnd:4373166-1,2,0,1,3
adjuvante therapie,Adjuvante Therapie,gnd:4218974-3,0,0,1,1
admiral,Admiral,gnd:4141435-4,0,0,1,1
ado.net,ADO.NET,gnd:4678430-5,3,1,0,4
ado.net 2.0,ADO.NET 2.0,gnd:7518663-9,1,0,0,1
