LabelNorm,RawLabelExample,NumCodes,Codes,RolesPerCode,PrefCount,AltCount
ziba,Ziba,3,gnd:4089183-5; gnd:4159317-0; gnd:7673640-4,gnd:4089183-5:alt; gnd:4159317-0:alt; gnd:7673640-4:alt,0,3
a,a,2,gnd:1143042131; gnd:4560358-3,gnd:1143042131:alt; gnd:4560358-3:pref,1,1
a-20,A-20,2,gnd:4571900-7; gnd:7856433-5,gnd:4571900-7:pref; gnd:7856433-5:alt,1,1
aal,Aal,2,gnd:4130636-3; gnd:4786750-4,gnd:4130636-3:alt; gnd:4786750-4:alt,0,2
aao,AAO,2,gnd:1170447619; gnd:4791521-3,gnd:1170447619:alt; gnd:4791521-3:alt,0,2
aas,Aas,2,gnd:4272523-9; gnd:4652928-7,gnd:4272523-9:alt; gnd:4652928-7:alt,0,2
"aaskrähe,unterart","Aaskrähe,Unterart",2,gnd:4171363-1; gnd:4176752-4,gnd:4171363-1:alt; gnd:4176752-4:alt,0,2
abc,ABC,2,gnd:1278608702; gnd:4001336-4,gnd:1278608702:alt; gnd:4001336-4:alt,0,2
abdal,Abdal,2,gnd:4348677-0; gnd:7579408-1,gnd:4348677-0:pref; gnd:7579408-1:alt,1,1
ablösesumme,Ablösesumme,2,gnd:4185885-2; gnd:4267108-5,gnd:4185885-2:alt; gnd:4267108-5:alt,0,2
abort,Abort,2,gnd:4185615-6; gnd:4234271-5,gnd:4185615-6:alt; gnd:4234271-5:alt,0,2
abri,Abri,2,gnd:4294959-2; gnd:7540523-4,gnd:4294959-2:pref; gnd:7540523-4:alt,1,1
abs,ABS,2,gnd:4272354-1; gnd:4278417-7,gnd:4272354-1:alt; gnd:4278417-7:alt,0,2
absetzung,Absetzung,2,gnd:4141107-9; gnd:4301726-5,gnd:4141107-9:pref; gnd:4301726-5:alt,1,1
abwehrender brandschutz,Abwehrender Brandschutz,2,gnd:4007974-0; gnd:4125289-5,gnd:4007974-0:alt; gnd:4125289-5:alt,0,2
ac,ac,2,gnd:4156414-5; gnd:4551765-4,gnd:4156414-5:alt; gnd:4551765-4:pref,1,1
acc,acc,2,gnd:4122772-4; gnd:4286324-7,gnd:4122772-4:alt; gnd:4286324-7:alt,0,2
"access,windows,programm","Access,WINDOWS,Programm",2,gnd:4303535-8; gnd:4343205-0,gnd:4303535-8:alt; gnd:4343205-0:alt,0,2
ache,Ache,2,gnd:4129688-6; gnd:4536143-5,gnd:4129688-6:alt; gnd:4536143-5:alt,0,2
achi,Achi,2,gnd:1023925621; gnd:4476758-4,gnd:1023925621:alt; gnd:4476758-4:alt,0,2
achual,Achual,2,gnd:4000387-5; gnd:4782034-2,gnd:4000387-5:alt; gnd:4782034-2:alt,0,2
acipenser fulvescens,Acipenser fulvescens,2,gnd:1283958198; gnd:4631974-8,gnd:1283958198:alt; gnd:4631974-8:alt,0,2
ackerfuchsschwanz,Ackerfuchsschwanz,2,gnd:4309934-8; gnd:4380100-6,gnd:4309934-8:alt; gnd:4380100-6:alt,0,2
acp,ACP,2,gnd:1184526427; gnd:4405493-2,gnd:1184526427:alt; gnd:4405493-2:alt,0,2
adamawa fula,Adamawa Fula,2,gnd:4018858-9; gnd:7757534-9,gnd:4018858-9:alt; gnd:7757534-9:alt,0,2
adamawa fulani,Adamawa Fulani,2,gnd:4018858-9; gnd:7757534-9,gnd:4018858-9:alt; gnd:7757534-9:alt,0,2
adergeschwulst,Adergeschwulst,2,gnd:4136094-1; gnd:4262670-5,gnd:4136094-1:alt; gnd:4262670-5:alt,0,2
adh,ADH,2,gnd:4138370-9; gnd:4285029-0,gnd:4138370-9:alt; gnd:4285029-0:alt,0,2
adobe illustrator creative cloud,Adobe Illustrator Creative Cloud,2,gnd:1037974646; gnd:1061164438,gnd:1037974646:alt; gnd:1061164438:alt,0,2
adobe indesign creative cloud,Adobe InDesign Creative Cloud,2,gnd:1036717453; gnd:1061164578,gnd:1036717453:alt; gnd:1061164578:alt,0,2
adobe photoshop creative suite,Adobe Photoshop Creative Suite,2,gnd:4768722-8; gnd:4833303-7,gnd:4768722-8:alt; gnd:4833303-7:alt,0,2
adt,ADT,2,gnd:1077445415; gnd:1330600436,gnd:1077445415:alt; gnd:1330600436:alt,0,2
adventus,adventus,2,gnd:4000537-9; gnd:4159649-3,gnd:4000537-9:alt; gnd:4159649-3:pref,1,1
adyge,Adyge,2,gnd:4061098-6; gnd:7604261-3,gnd:4061098-6:alt; gnd:7604261-3:alt,0,2
ae1,AE1,2,gnd:1068270535; gnd:1326244817,gnd:1068270535:alt; gnd:1326244817:pref,1,1
aegilops squarrosa,Aegilops squarrosa,2,gnd:4286000-3; gnd:4427644-8,gnd:4286000-3:alt; gnd:4427644-8:alt,0,2
afs,AFS,2,gnd:4143324-5; gnd:4764952-5,gnd:4143324-5:alt; gnd:4764952-5:alt,0,2
ago,Ago,2,gnd:1247488683; gnd:4838282-6,gnd:1247488683:alt; gnd:4838282-6:alt,0,2
agoma,Agoma,2,gnd:4220233-4; gnd:4790777-0,gnd:4220233-4:alt; gnd:4790777-0:alt,0,2
agrartechnik,Agrartechnik,2,gnd:4034389-3; gnd:4252414-3,gnd:4034389-3:alt; gnd:4252414-3:alt,0,2
ahonlan,Ahonlan,2,gnd:1247488683; gnd:4206251-2,gnd:1247488683:alt; gnd:4206251-2:alt,0,2
ahs,AHS,2,gnd:4267478-5; gnd:4551200-0,gnd:4267478-5:alt; gnd:4551200-0:alt,0,2
aid,AID,2,gnd:4129746-5; gnd:4276191-8,gnd:4129746-5:alt; gnd:4276191-8:alt,0,2
air marshal,Air Marshal,2,gnd:1068287438; gnd:7833254-0,gnd:1068287438:alt; gnd:7833254-0:alt,0,2
